Pet_ID,Pet_Type,Owner_Name,Procedure,Cost_Per_Treatment,Repeat_Seen,Consultation_Time_Minutes,Date_of_Treatment,Referral_Source,Diagnosis,Main_Condition,Visits_Count,Total_Income
PET0186,Rabbit,Owner_71,Surgery,677,True,21,2025-03-29,Referred by Vet,Arthritis,Preventative Care,4,2708
PET0596,Rabbit,Owner_19,Dental Cleaning,794,True,56,2025-03-24,Referred by Vet,Ear Infection,Chronic Disease,2,1588
PET0676,Bird,Owner_120,Vaccination,308,True,10,2025-03-01,Referred by Vet,Parvovirus,Trauma,4,1232
PET0236,Rabbit,Owner_65,Vaccination,408,True,35,2025-03-02,Online Booking,Arthritis,Chronic Disease,2,816
PET0120,Dog,Owner_78,Deworming,759,False,23,2025-01-30,Online Booking,Obesity,Behavioral Issue,5,3795
PET0891,Dog,Owner_59,Surgery,505,True,47,2025-01-29,Walk-in,Arthritis,Genetic Disorder,5,2525
PET0247,Cat,Owner_78,Deworming,460,False,46,2025-01-19,Emergency,Arthritis,Preventative Care,5,2300
PET0595,Cat,Owner_17,Dental Cleaning,698,True,20,2025-03-20,Referred by Vet,Dental Disease,Trauma,1,698
PET0620,Cat,Owner_181,Checkup,367,True,45,2025-02-03,Online Booking,Skin Infection,Genetic Disorder,4,1468
PET0420,Dog,Owner_182,Deworming,726,False,22,2025-02-16,Online Booking,Obesity,Genetic Disorder,5,3630
PET0584,Rabbit,Owner_196,Dental Cleaning,274,False,52,2025-02-20,Referred by Vet,Arthritis,Preventative Care,1,274
PET0523,Cat,Owner_115,Vaccination,868,False,12,2025-01-24,Online Booking,Dental Disease,Behavioral Issue,4,3472
PET0935,Cat,Owner_34,Checkup,283,False,42,2025-03-31,Online Booking,Obesity,Genetic Disorder,2,566
PET0205,Dog,Owner_77,Deworming,733,False,15,2025-03-27,Referred by Vet,Ear Infection,Chronic Disease,1,733
PET0717,Bird,Owner_28,Checkup,713,True,59,2025-02-12,Online Booking,Parvovirus,Infectious Disease,3,2139
PET0239,Dog,Owner_61,Checkup,876,False,19,2025-02-11,Walk-in,Dental Disease,Genetic Disorder,1,876
PET0396,Bird,Owner_99,Surgery,423,False,14,2025-02-28,Emergency,Arthritis,Preventative Care,1,423
PET0672,Bird,Owner_13,Surgery,721,True,32,2025-03-04,Walk-in,Ear Infection,Genetic Disorder,4,2884
PET0300,Rabbit,Owner_87,Checkup,657,False,19,2025-01-04,Walk-in,Obesity,Genetic Disorder,2,1314
PET0317,Rabbit,Owner_85,Checkup,521,True,53,2025-01-09,Referred by Vet,Skin Infection,Preventative Care,3,1563
PET0752,Cat,Owner_97,Surgery,282,False,11,2025-03-02,Online Booking,Dental Disease,Chronic Disease,5,1410
PET0073,Rabbit,Owner_16,Deworming,741,True,22,2025-01-15,Online Booking,Arthritis,Trauma,5,3705
PET0459,Bird,Owner_51,Dental Cleaning,162,False,49,2025-02-14,Walk-in,Obesity,Genetic Disorder,1,162
PET0999,Bird,Owner_50,Neutering,879,True,11,2025-03-03,Online Booking,Arthritis,Chronic Disease,4,3516
PET0997,Cat,Owner_126,Neutering,546,True,29,2025-03-01,Online Booking,Obesity,Preventative Care,4,2184
PET0074,Bird,Owner_119,Vaccination,491,True,10,2025-01-22,Walk-in,Ear Infection,Behavioral Issue,5,2455
PET0214,Rabbit,Owner_40,Checkup,613,False,46,2025-02-06,Referred by Vet,Obesity,Behavioral Issue,3,1839
PET0266,Cat,Owner_22,Surgery,317,False,18,2025-02-14,Online Booking,Skin Infection,Infectious Disease,2,634
PET0934,Cat,Owner_61,Dental Cleaning,559,True,26,2025-03-19,Referred by Vet,Dental Disease,Genetic Disorder,3,1677
PET0881,Dog,Owner_190,Checkup,856,True,18,2025-03-15,Emergency,Dental Disease,Preventative Care,2,1712
PET0880,Dog,Owner_67,Dental Cleaning,435,True,20,2025-01-17,Emergency,Parvovirus,Behavioral Issue,5,2175
PET0370,Dog,Owner_125,Surgery,436,False,24,2025-03-07,Online Booking,Skin Infection,Trauma,2,872
PET0158,Bird,Owner_161,Checkup,162,False,33,2025-01-14,Walk-in,Obesity,Preventative Care,4,648
PET0834,Cat,Owner_66,Deworming,662,True,47,2025-02-21,Walk-in,Obesity,Behavioral Issue,1,662
PET0704,Rabbit,Owner_67,Checkup,674,False,44,2025-01-14,Referred by Vet,Parvovirus,Preventative Care,1,674
PET0612,Rabbit,Owner_164,Surgery,130,False,39,2025-02-11,Emergency,Ear Infection,Chronic Disease,5,650
PET0988,Dog,Owner_172,Deworming,748,True,40,2025-03-13,Walk-in,Dental Disease,Trauma,4,2992
PET0654,Dog,Owner_195,Deworming,162,False,58,2025-03-25,Online Booking,Parvovirus,Genetic Disorder,3,486
PET0008,Cat,Owner_28,Deworming,51,True,14,2025-01-10,Online Booking,Arthritis,Chronic Disease,4,204
PET0818,Cat,Owner_65,Dental Cleaning,691,False,53,2025-02-08,Referred by Vet,Arthritis,Chronic Disease,1,691
PET0300,Rabbit,Owner_190,Vaccination,269,True,59,2025-03-10,Emergency,Obesity,Behavioral Issue,1,269
PET0664,Dog,Owner_41,Vaccination,615,False,23,2025-03-01,Referred by Vet,Parvovirus,Preventative Care,4,2460
PET0939,Cat,Owner_63,Dental Cleaning,904,False,20,2025-02-21,Walk-in,Parvovirus,Trauma,4,3616
PET0135,Cat,Owner_193,Checkup,785,True,18,2025-03-17,Walk-in,Obesity,Chronic Disease,1,785
PET0116,Cat,Owner_194,Checkup,274,True,43,2025-02-22,Referred by Vet,Arthritis,Trauma,3,822
PET0108,Cat,Owner_59,Dental Cleaning,434,False,21,2025-01-31,Online Booking,Dental Disease,Behavioral Issue,5,2170
PET0554,Rabbit,Owner_139,Checkup,452,True,44,2025-03-21,Online Booking,Obesity,Genetic Disorder,5,2260
PET0273,Bird,Owner_99,Neutering,687,True,44,2025-02-01,Referred by Vet,Obesity,Infectious Disease,4,2748
PET0605,Rabbit,Owner_116,Vaccination,179,False,10,2025-03-12,Emergency,Ear Infection,Preventative Care,5,895
PET0718,Dog,Owner_49,Neutering,102,True,49,2025-01-21,Online Booking,Parvovirus,Genetic Disorder,1,102
PET0204,Dog,Owner_76,Checkup,733,False,31,2025-03-03,Referred by Vet,Parvovirus,Trauma,1,733
PET0635,Rabbit,Owner_164,Dental Cleaning,779,False,38,2025-02-19,Referred by Vet,Skin Infection,Infectious Disease,4,3116
PET0264,Cat,Owner_79,Checkup,721,False,17,2025-01-09,Emergency,Arthritis,Genetic Disorder,4,2884
PET0489,Rabbit,Owner_23,Dental Cleaning,759,True,20,2025-02-13,Walk-in,Skin Infection,Behavioral Issue,4,3036
PET0906,Rabbit,Owner_113,Dental Cleaning,465,True,50,2025-01-27,Walk-in,Parvovirus,Trauma,3,1395
PET0847,Bird,Owner_119,Dental Cleaning,296,True,46,2025-03-30,Referred by Vet,Arthritis,Chronic Disease,5,1480
PET0093,Bird,Owner_110,Deworming,885,True,23,2025-03-17,Online Booking,Parvovirus,Behavioral Issue,4,3540
PET0424,Cat,Owner_137,Neutering,488,True,39,2025-02-25,Walk-in,Dental Disease,Genetic Disorder,2,976
PET0277,Rabbit,Owner_111,Deworming,252,True,44,2025-02-25,Emergency,Obesity,Infectious Disease,2,504
PET0004,Dog,Owner_191,Surgery,233,False,30,2025-03-14,Emergency,Skin Infection,Infectious Disease,1,233
PET0772,Cat,Owner_93,Deworming,172,True,46,2025-02-13,Emergency,Ear Infection,Genetic Disorder,5,860
PET0638,Bird,Owner_142,Vaccination,450,True,14,2025-03-11,Online Booking,Obesity,Preventative Care,4,1800
PET0262,Rabbit,Owner_88,Deworming,816,False,28,2025-03-30,Emergency,Ear Infection,Preventative Care,2,1632
PET0742,Cat,Owner_59,Surgery,343,True,23,2025-01-31,Referred by Vet,Arthritis,Genetic Disorder,5,1715
PET0552,Rabbit,Owner_139,Deworming,329,False,35,2025-01-23,Emergency,Ear Infection,Chronic Disease,1,329
PET0428,Bird,Owner_164,Neutering,886,False,13,2025-03-26,Walk-in,Arthritis,Trauma,3,2658
PET0010,Cat,Owner_160,Dental Cleaning,933,True,34,2025-03-27,Emergency,Arthritis,Genetic Disorder,5,4665
PET0076,Cat,Owner_82,Vaccination,659,True,54,2025-01-10,Emergency,Arthritis,Chronic Disease,5,3295
PET0884,Bird,Owner_100,Deworming,247,True,51,2025-03-15,Online Booking,Skin Infection,Chronic Disease,3,741
PET0904,Bird,Owner_127,Vaccination,956,False,34,2025-03-04,Walk-in,Dental Disease,Behavioral Issue,5,4780
PET0546,Rabbit,Owner_49,Dental Cleaning,560,False,27,2025-01-15,Walk-in,Obesity,Trauma,1,560
PET0835,Bird,Owner_132,Neutering,801,False,49,2025-03-17,Referred by Vet,Obesity,Genetic Disorder,1,801
PET0583,Rabbit,Owner_144,Surgery,193,False,17,2025-03-18,Online Booking,Obesity,Chronic Disease,3,579
PET0149,Rabbit,Owner_158,Deworming,658,True,48,2025-03-01,Walk-in,Obesity,Infectious Disease,4,2632
PET0128,Rabbit,Owner_15,Neutering,250,True,49,2025-02-11,Walk-in,Arthritis,Chronic Disease,2,500
PET0309,Rabbit,Owner_199,Dental Cleaning,173,True,23,2025-03-13,Referred by Vet,Dental Disease,Genetic Disorder,4,692
PET0899,Cat,Owner_96,Checkup,236,True,41,2025-01-13,Referred by Vet,Dental Disease,Chronic Disease,5,1180
PET0797,Cat,Owner_81,Checkup,375,False,47,2025-02-26,Online Booking,Arthritis,Behavioral Issue,2,750
PET0861,Cat,Owner_102,Neutering,513,False,42,2025-01-23,Referred by Vet,Obesity,Trauma,3,1539
PET0899,Dog,Owner_185,Surgery,398,True,32,2025-02-09,Referred by Vet,Skin Infection,Preventative Care,3,1194
PET0211,Dog,Owner_139,Dental Cleaning,820,True,24,2025-02-21,Emergency,Parvovirus,Preventative Care,2,1640
PET0250,Bird,Owner_109,Surgery,709,False,42,2025-01-09,Online Booking,Obesity,Behavioral Issue,1,709
PET0103,Cat,Owner_159,Vaccination,813,True,34,2025-03-18,Emergency,Obesity,Infectious Disease,2,1626
PET0781,Dog,Owner_72,Dental Cleaning,981,True,26,2025-01-14,Online Booking,Parvovirus,Chronic Disease,5,4905
PET0885,Dog,Owner_180,Checkup,452,True,42,2025-03-29,Walk-in,Parvovirus,Trauma,1,452
PET0407,Dog,Owner_108,Dental Cleaning,395,False,56,2025-03-18,Walk-in,Ear Infection,Chronic Disease,3,1185
PET0621,Bird,Owner_128,Checkup,560,False,11,2025-02-18,Online Booking,Skin Infection,Trauma,2,1120
PET0155,Dog,Owner_17,Neutering,196,True,23,2025-02-11,Emergency,Skin Infection,Preventative Care,4,784
PET0930,Bird,Owner_154,Checkup,197,True,49,2025-03-05,Online Booking,Skin Infection,Trauma,4,788
PET0865,Bird,Owner_132,Vaccination,913,True,49,2025-03-24,Online Booking,Arthritis,Genetic Disorder,5,4565
PET0977,Bird,Owner_72,Surgery,760,False,48,2025-03-26,Emergency,Arthritis,Infectious Disease,4,3040
PET0811,Dog,Owner_130,Surgery,869,True,15,2025-01-08,Referred by Vet,Arthritis,Infectious Disease,2,1738
PET0882,Cat,Owner_9,Neutering,538,False,15,2025-01-12,Emergency,Skin Infection,Genetic Disorder,2,1076
PET0025,Bird,Owner_197,Deworming,978,True,12,2025-01-28,Emergency,Dental Disease,Infectious Disease,4,3912
PET0737,Dog,Owner_136,Neutering,985,False,16,2025-01-18,Walk-in,Skin Infection,Preventative Care,2,1970
PET0333,Cat,Owner_80,Vaccination,689,False,17,2025-03-16,Emergency,Skin Infection,Behavioral Issue,5,3445
PET0931,Dog,Owner_151,Dental Cleaning,600,True,51,2025-03-23,Online Booking,Skin Infection,Infectious Disease,1,600
PET0803,Bird,Owner_194,Neutering,387,True,24,2025-01-01,Walk-in,Ear Infection,Preventative Care,5,1935
PET0865,Bird,Owner_87,Vaccination,921,False,56,2025-01-19,Emergency,Skin Infection,Infectious Disease,5,4605
PET0811,Bird,Owner_3,Dental Cleaning,690,False,38,2025-03-26,Referred by Vet,Ear Infection,Preventative Care,2,1380
PET0267,Dog,Owner_52,Checkup,828,True,42,2025-01-20,Referred by Vet,Obesity,Behavioral Issue,1,828
PET0788,Cat,Owner_103,Dental Cleaning,522,True,39,2025-02-27,Referred by Vet,Parvovirus,Genetic Disorder,2,1044
PET0109,Cat,Owner_104,Checkup,995,False,48,2025-03-10,Online Booking,Parvovirus,Behavioral Issue,3,2985
PET0873,Rabbit,Owner_117,Surgery,200,False,36,2025-02-07,Walk-in,Obesity,Trauma,2,400
PET0859,Dog,Owner_116,Dental Cleaning,464,True,45,2025-02-19,Walk-in,Parvovirus,Trauma,2,928
PET0223,Cat,Owner_90,Checkup,347,False,38,2025-03-20,Walk-in,Obesity,Trauma,2,694
PET0817,Cat,Owner_79,Neutering,660,False,47,2025-03-15,Walk-in,Ear Infection,Trauma,1,660
PET0461,Rabbit,Owner_155,Vaccination,312,False,42,2025-02-27,Online Booking,Parvovirus,Behavioral Issue,2,624
PET0306,Cat,Owner_118,Neutering,813,False,46,2025-01-26,Emergency,Dental Disease,Behavioral Issue,1,813
PET0796,Rabbit,Owner_101,Surgery,193,False,36,2025-01-27,Online Booking,Skin Infection,Genetic Disorder,4,772
PET0228,Cat,Owner_69,Dental Cleaning,395,False,42,2025-03-29,Emergency,Obesity,Behavioral Issue,3,1185
PET0024,Bird,Owner_5,Checkup,673,True,13,2025-02-10,Emergency,Ear Infection,Preventative Care,1,673
PET0194,Cat,Owner_21,Dental Cleaning,621,True,31,2025-02-08,Emergency,Skin Infection,Trauma,4,2484
PET0329,Bird,Owner_84,Dental Cleaning,930,False,11,2025-03-14,Online Booking,Ear Infection,Infectious Disease,1,930
PET0865,Cat,Owner_193,Checkup,51,False,19,2025-03-28,Walk-in,Arthritis,Trauma,1,51
PET0967,Bird,Owner_24,Surgery,946,True,14,2025-02-08,Referred by Vet,Skin Infection,Chronic Disease,3,2838
PET0280,Bird,Owner_189,Neutering,353,True,19,2025-02-25,Walk-in,Parvovirus,Infectious Disease,5,1765
PET0642,Cat,Owner_29,Deworming,303,True,42,2025-02-14,Online Booking,Arthritis,Trauma,5,1515
PET0400,Cat,Owner_63,Deworming,701,True,47,2025-01-12,Online Booking,Parvovirus,Genetic Disorder,1,701
PET0982,Cat,Owner_92,Neutering,502,True,22,2025-03-16,Referred by Vet,Parvovirus,Genetic Disorder,2,1004
PET0537,Rabbit,Owner_42,Deworming,86,False,40,2025-01-02,Referred by Vet,Skin Infection,Behavioral Issue,4,344
PET0940,Bird,Owner_97,Neutering,209,False,56,2025-03-20,Referred by Vet,Ear Infection,Infectious Disease,2,418
PET0116,Bird,Owner_96,Dental Cleaning,58,True,45,2025-03-07,Online Booking,Dental Disease,Preventative Care,2,116
PET0971,Bird,Owner_88,Deworming,282,True,54,2025-02-21,Online Booking,Skin Infection,Behavioral Issue,1,282
PET0179,Dog,Owner_140,Deworming,148,True,33,2025-01-17,Emergency,Obesity,Chronic Disease,1,148
PET0963,Cat,Owner_64,Neutering,708,False,24,2025-02-07,Online Booking,Parvovirus,Genetic Disorder,1,708
PET0266,Rabbit,Owner_61,Dental Cleaning,865,False,38,2025-01-08,Referred by Vet,Arthritis,Genetic Disorder,1,865
PET0109,Bird,Owner_163,Checkup,257,True,17,2025-02-17,Emergency,Parvovirus,Trauma,5,1285
PET0435,Rabbit,Owner_24,Vaccination,180,True,14,2025-03-12,Walk-in,Ear Infection,Preventative Care,1,180
PET0729,Dog,Owner_170,Checkup,453,True,38,2025-01-07,Online Booking,Ear Infection,Preventative Care,5,2265
PET0314,Bird,Owner_130,Surgery,201,True,56,2025-01-01,Walk-in,Dental Disease,Trauma,5,1005
PET0607,Bird,Owner_136,Dental Cleaning,103,True,13,2025-03-13,Online Booking,Obesity,Trauma,1,103
PET0512,Cat,Owner_33,Neutering,169,True,21,2025-02-15,Walk-in,Skin Infection,Chronic Disease,3,507
PET0386,Bird,Owner_197,Surgery,722,True,54,2025-01-15,Walk-in,Parvovirus,Behavioral Issue,4,2888
PET0577,Cat,Owner_49,Vaccination,969,True,11,2025-02-06,Walk-in,Skin Infection,Behavioral Issue,2,1938
PET0255,Bird,Owner_35,Deworming,677,False,36,2025-01-04,Walk-in,Ear Infection,Genetic Disorder,5,3385
PET0709,Dog,Owner_33,Dental Cleaning,636,True,40,2025-01-31,Walk-in,Skin Infection,Infectious Disease,4,2544
PET0002,Cat,Owner_112,Surgery,674,True,45,2025-02-25,Emergency,Arthritis,Trauma,3,2022
PET0926,Bird,Owner_192,Vaccination,469,False,45,2025-03-31,Online Booking,Arthritis,Infectious Disease,2,938
PET0539,Dog,Owner_47,Deworming,471,True,35,2025-03-17,Walk-in,Ear Infection,Genetic Disorder,2,942
PET0720,Cat,Owner_82,Surgery,153,True,52,2025-02-20,Online Booking,Obesity,Chronic Disease,5,765
PET0742,Cat,Owner_37,Surgery,901,True,36,2025-03-22,Online Booking,Skin Infection,Trauma,1,901
PET0671,Dog,Owner_129,Vaccination,303,True,14,2025-02-10,Walk-in,Obesity,Preventative Care,3,909
PET0365,Dog,Owner_87,Checkup,276,True,29,2025-02-18,Walk-in,Arthritis,Trauma,5,1380
PET0070,Rabbit,Owner_6,Neutering,161,False,20,2025-02-21,Online Booking,Obesity,Preventative Care,3,483
PET0665,Dog,Owner_123,Neutering,559,False,19,2025-02-18,Emergency,Arthritis,Infectious Disease,1,559
PET0331,Bird,Owner_40,Surgery,522,False,49,2025-02-25,Walk-in,Skin Infection,Trauma,1,522
PET0314,Cat,Owner_119,Neutering,148,False,47,2025-03-11,Walk-in,Skin Infection,Behavioral Issue,5,740
PET0849,Dog,Owner_78,Vaccination,202,True,15,2025-01-28,Referred by Vet,Skin Infection,Behavioral Issue,1,202
PET0720,Bird,Owner_141,Checkup,910,False,17,2025-03-26,Walk-in,Ear Infection,Behavioral Issue,4,3640
PET0301,Bird,Owner_42,Surgery,963,False,32,2025-01-23,Emergency,Dental Disease,Behavioral Issue,2,1926
PET0310,Rabbit,Owner_151,Dental Cleaning,945,True,56,2025-03-02,Online Booking,Obesity,Behavioral Issue,5,4725
PET0409,Bird,Owner_162,Surgery,927,False,35,2025-01-18,Online Booking,Arthritis,Genetic Disorder,3,2781
PET0403,Dog,Owner_13,Surgery,387,True,55,2025-01-25,Online Booking,Skin Infection,Chronic Disease,4,1548
PET0296,Cat,Owner_21,Dental Cleaning,755,True,52,2025-03-13,Walk-in,Dental Disease,Chronic Disease,5,3775
PET0128,Bird,Owner_175,Surgery,871,False,21,2025-02-19,Online Booking,Skin Infection,Infectious Disease,1,871
PET0421,Rabbit,Owner_38,Vaccination,212,False,35,2025-02-16,Walk-in,Arthritis,Preventative Care,1,212
PET0941,Dog,Owner_66,Checkup,769,True,22,2025-02-23,Referred by Vet,Ear Infection,Preventative Care,1,769
PET0678,Rabbit,Owner_92,Vaccination,730,False,49,2025-01-20,Walk-in,Ear Infection,Behavioral Issue,1,730
PET0903,Cat,Owner_53,Checkup,210,True,27,2025-02-06,Online Booking,Obesity,Preventative Care,3,630
PET0616,Dog,Owner_173,Vaccination,629,True,34,2025-03-27,Online Booking,Arthritis,Infectious Disease,4,2516
PET0301,Dog,Owner_106,Vaccination,850,True,42,2025-01-17,Online Booking,Ear Infection,Genetic Disorder,2,1700
PET0548,Cat,Owner_128,Vaccination,447,False,56,2025-01-18,Referred by Vet,Obesity,Chronic Disease,3,1341
PET0001,Bird,Owner_120,Dental Cleaning,326,True,49,2025-01-02,Walk-in,Arthritis,Genetic Disorder,3,978
PET0287,Rabbit,Owner_123,Dental Cleaning,865,True,52,2025-01-10,Emergency,Obesity,Preventative Care,2,1730
PET0430,Rabbit,Owner_118,Dental Cleaning,965,True,21,2025-03-24,Emergency,Obesity,Behavioral Issue,2,1930
PET0580,Rabbit,Owner_70,Surgery,553,False,53,2025-01-03,Walk-in,Arthritis,Chronic Disease,1,553
PET0655,Dog,Owner_170,Dental Cleaning,945,False,45,2025-01-19,Emergency,Parvovirus,Trauma,3,2835
PET0465,Cat,Owner_124,Checkup,441,True,57,2025-03-04,Walk-in,Arthritis,Infectious Disease,5,2205
PET0443,Cat,Owner_163,Dental Cleaning,184,True,13,2025-03-26,Emergency,Dental Disease,Preventative Care,2,368
PET0214,Dog,Owner_142,Vaccination,244,True,14,2025-02-25,Walk-in,Arthritis,Chronic Disease,2,488
PET0474,Cat,Owner_60,Neutering,450,True,46,2025-01-18,Walk-in,Arthritis,Chronic Disease,4,1800
PET0902,Bird,Owner_123,Dental Cleaning,689,True,17,2025-01-11,Walk-in,Parvovirus,Genetic Disorder,5,3445
PET0797,Cat,Owner_17,Deworming,82,False,51,2025-01-18,Referred by Vet,Arthritis,Preventative Care,5,410
PET0170,Dog,Owner_27,Dental Cleaning,737,False,58,2025-03-24,Online Booking,Dental Disease,Infectious Disease,2,1474
PET0085,Bird,Owner_24,Vaccination,509,True,37,2025-02-23,Emergency,Skin Infection,Trauma,1,509
PET0516,Rabbit,Owner_62,Checkup,932,False,40,2025-02-28,Online Booking,Ear Infection,Genetic Disorder,4,3728
PET0633,Dog,Owner_37,Deworming,519,True,18,2025-03-31,Walk-in,Parvovirus,Infectious Disease,5,2595
PET0336,Rabbit,Owner_139,Deworming,424,False,38,2025-03-19,Walk-in,Ear Infection,Behavioral Issue,2,848
PET0819,Dog,Owner_103,Checkup,71,False,23,2025-02-24,Emergency,Dental Disease,Behavioral Issue,5,355
PET0752,Dog,Owner_84,Vaccination,799,True,49,2025-03-21,Emergency,Parvovirus,Genetic Disorder,4,3196
PET0673,Cat,Owner_28,Vaccination,719,False,50,2025-01-24,Referred by Vet,Obesity,Chronic Disease,4,2876
PET0225,Rabbit,Owner_77,Surgery,87,True,31,2025-02-28,Emergency,Dental Disease,Chronic Disease,3,261
PET0200,Dog,Owner_38,Checkup,279,True,20,2025-03-07,Referred by Vet,Obesity,Trauma,2,558
PET0025,Cat,Owner_128,Vaccination,414,True,32,2025-02-24,Online Booking,Ear Infection,Behavioral Issue,4,1656
PET0245,Rabbit,Owner_139,Dental Cleaning,612,False,10,2025-03-12,Walk-in,Skin Infection,Infectious Disease,3,1836
PET0476,Dog,Owner_130,Dental Cleaning,487,False,55,2025-02-27,Referred by Vet,Obesity,Infectious Disease,3,1461
PET0850,Bird,Owner_200,Deworming,825,False,46,2025-02-19,Referred by Vet,Arthritis,Preventative Care,5,4125
PET0073,Dog,Owner_111,Dental Cleaning,332,True,30,2025-02-15,Walk-in,Skin Infection,Genetic Disorder,5,1660
PET0415,Rabbit,Owner_98,Neutering,76,False,35,2025-01-29,Walk-in,Parvovirus,Infectious Disease,3,228
PET0630,Rabbit,Owner_29,Vaccination,275,True,55,2025-01-24,Walk-in,Ear Infection,Genetic Disorder,5,1375
PET0195,Bird,Owner_63,Dental Cleaning,326,False,45,2025-02-24,Online Booking,Parvovirus,Behavioral Issue,4,1304
PET0697,Rabbit,Owner_91,Vaccination,847,True,32,2025-03-19,Walk-in,Skin Infection,Behavioral Issue,1,847
PET0495,Cat,Owner_11,Dental Cleaning,658,False,10,2025-01-01,Walk-in,Skin Infection,Genetic Disorder,4,2632
PET0244,Cat,Owner_72,Checkup,333,True,49,2025-03-15,Walk-in,Ear Infection,Preventative Care,3,999
PET0657,Rabbit,Owner_2,Dental Cleaning,928,True,24,2025-03-05,Online Booking,Dental Disease,Preventative Care,3,2784
PET0006,Bird,Owner_28,Checkup,530,False,30,2025-01-31,Emergency,Dental Disease,Trauma,4,2120
PET0751,Cat,Owner_164,Vaccination,502,False,56,2025-03-06,Emergency,Parvovirus,Genetic Disorder,5,2510
PET0771,Dog,Owner_193,Checkup,878,False,18,2025-02-04,Walk-in,Parvovirus,Genetic Disorder,5,4390
PET0107,Bird,Owner_102,Vaccination,865,True,18,2025-02-22,Referred by Vet,Dental Disease,Trauma,3,2595
PET0426,Cat,Owner_99,Deworming,708,False,19,2025-03-11,Walk-in,Parvovirus,Preventative Care,2,1416
PET0176,Rabbit,Owner_137,Surgery,565,True,35,2025-03-15,Referred by Vet,Dental Disease,Preventative Care,5,2825
PET0958,Rabbit,Owner_84,Dental Cleaning,596,True,50,2025-02-16,Emergency,Parvovirus,Behavioral Issue,4,2384
PET0518,Bird,Owner_168,Neutering,241,False,44,2025-01-05,Referred by Vet,Dental Disease,Genetic Disorder,5,1205
PET0051,Rabbit,Owner_98,Neutering,98,True,34,2025-01-05,Online Booking,Skin Infection,Chronic Disease,4,392
PET0250,Cat,Owner_17,Surgery,561,False,35,2025-03-14,Referred by Vet,Dental Disease,Infectious Disease,3,1683
PET0849,Dog,Owner_7,Deworming,66,False,20,2025-03-03,Emergency,Arthritis,Infectious Disease,5,330
PET0457,Rabbit,Owner_153,Vaccination,221,True,47,2025-02-17,Referred by Vet,Dental Disease,Infectious Disease,4,884
PET0802,Bird,Owner_59,Checkup,269,False,11,2025-01-15,Online Booking,Parvovirus,Genetic Disorder,3,807
PET0668,Dog,Owner_55,Dental Cleaning,207,True,16,2025-03-16,Walk-in,Parvovirus,Behavioral Issue,2,414
PET0988,Bird,Owner_108,Neutering,526,False,27,2025-03-03,Walk-in,Skin Infection,Genetic Disorder,4,2104
PET0596,Cat,Owner_34,Deworming,95,False,36,2025-03-30,Online Booking,Dental Disease,Infectious Disease,2,190
PET0951,Rabbit,Owner_92,Dental Cleaning,422,True,43,2025-01-11,Referred by Vet,Skin Infection,Trauma,2,844
PET0892,Rabbit,Owner_149,Neutering,567,True,36,2025-01-19,Emergency,Dental Disease,Behavioral Issue,1,567
PET0613,Bird,Owner_154,Deworming,148,False,26,2025-03-09,Walk-in,Skin Infection,Behavioral Issue,5,740
PET0720,Dog,Owner_110,Checkup,941,True,52,2025-02-05,Online Booking,Obesity,Preventative Care,4,3764
PET0505,Bird,Owner_23,Surgery,794,True,53,2025-03-01,Referred by Vet,Parvovirus,Infectious Disease,2,1588
PET0831,Cat,Owner_23,Checkup,86,True,33,2025-03-08,Walk-in,Dental Disease,Infectious Disease,1,86
PET0548,Cat,Owner_156,Vaccination,329,True,34,2025-01-11,Referred by Vet,Obesity,Preventative Care,3,987
PET0898,Dog,Owner_165,Checkup,398,False,16,2025-03-08,Emergency,Arthritis,Behavioral Issue,4,1592
PET0744,Dog,Owner_74,Vaccination,546,True,15,2025-03-20,Walk-in,Skin Infection,Behavioral Issue,2,1092
PET0475,Dog,Owner_165,Deworming,351,True,33,2025-01-12,Walk-in,Obesity,Chronic Disease,5,1755
PET0260,Bird,Owner_9,Vaccination,230,False,42,2025-02-01,Referred by Vet,Skin Infection,Trauma,1,230
PET0248,Rabbit,Owner_144,Neutering,656,True,58,2025-03-02,Emergency,Parvovirus,Genetic Disorder,2,1312
PET0638,Bird,Owner_110,Surgery,148,False,38,2025-03-22,Walk-in,Parvovirus,Genetic Disorder,5,740
PET0766,Rabbit,Owner_198,Checkup,749,True,52,2025-03-26,Online Booking,Skin Infection,Preventative Care,2,1498
PET0522,Cat,Owner_21,Checkup,165,True,31,2025-03-27,Online Booking,Skin Infection,Preventative Care,4,660
PET0627,Bird,Owner_167,Dental Cleaning,240,True,35,2025-01-10,Walk-in,Skin Infection,Chronic Disease,4,960
PET0275,Dog,Owner_151,Neutering,302,True,37,2025-03-29,Online Booking,Skin Infection,Trauma,4,1208
PET0078,Cat,Owner_60,Neutering,977,False,59,2025-03-23,Referred by Vet,Dental Disease,Preventative Care,1,977
PET0286,Bird,Owner_200,Vaccination,210,False,30,2025-03-11,Emergency,Ear Infection,Trauma,4,840
PET0272,Bird,Owner_90,Checkup,305,False,58,2025-03-16,Online Booking,Dental Disease,Infectious Disease,5,1525
PET0320,Cat,Owner_70,Deworming,372,False,16,2025-02-09,Walk-in,Ear Infection,Behavioral Issue,2,744
PET0541,Dog,Owner_164,Deworming,177,True,26,2025-03-20,Online Booking,Obesity,Behavioral Issue,3,531
